user,text
1277003187837456385,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Arrancaremos el mes d julio con casi 300 mil infectados y 10 mil fallecidos,q lastima👎
Xq el Gobierno d #Vizcarra , no ha incluido a #Lima para q siga en #cuarentena ,si es aca donde hay mas infectados x #Covid_19 ?
Mmm..
O sera q la #Confiep le ha ordenado acabar la cuarentena?"
1277003167868366848,"#27Jun #Coronavirus #Peru
Actualizacion de casos y estatus del #COVIDー19 - @Minsa_Peru https://t.co/XjRqSjGEdH"
1277003158422724609,"@ralphzapata @KarinaNovoaL @EsSaludPeru @Minsa_Peru Terrible lo que esta pasando. Ojala que mejore. 
Pero es muchisino mas grave que los medicos y familiares de medicos sepan que en Piura no hay esperanza de nada. Tanto asi, que la solucion para esta penosa situacion esta en Lima. ¿Y los otros pacientes de Piura estan condenados?"
1277003106052702208,@Veronic01328918 @mijvalera @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano a la tumba vas a ir con es ortografia oe!
1277003102550401024,@HeberNavar @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Si sabes leer bestia asi es
1277003056765378561,@felixroj @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Ya y? Se lo tomaron a la broma desde el inicio y ahi estan las consecuencias.
1277003042957688832,@enrique_ers @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano A ti te estaba esperando xd
1277003038570528768,@Jairo82236809 @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Yo recien lo pongo idiota y pongo lo que se me canta asno
1277003036204949504,@OlgerCastroP96 @henrycandia @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Jajajaja
1277003024242622464,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Excelente fuerzas Peru!
1277003006077173760,@warneriusko @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Veamos al sobon
1277002918768644096,@rparrawong @Minsa_Peru Tienen el numero de contagios de hoy y fallecidos por regiones please?? 🙁
1277002918693044226,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano MAS FALSO QUE LAS CIFRAS DEL MINSA
1277002901098057729,@JOEDEUTEROS2319 @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Esto no es competencia.
1277002820437315585,@warneriusko @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano ya se te va a acabar la mamadera cabron
1277002770592206854,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Ojala sigamos asi
1277002737926971394,"@felixroj @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Ya deja de poner todos los dias copia y pega, innova porfavor"
1277002717739835392,@henrycandia @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano @MatLabPer debe estar actualizando la pizarra para pasar el video.
1277002676421738496,@felixroj @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Que si !!??????????
1277002639016935424,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Quieran aceptar o no. La realidad ahora es que ya estamos bajando casos. Si bien no en todas las regiones, pero si en la mayoria."
1277002562261131265,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano #Dia104 | Peru se mantiene septimo y supero los 9000 fallecidos. Colombia supero a China. Esta es la sit. del #COVID19 en el mundo

En Peru:
275,989 casos (+3625)
9,135 fallecidos (+196)
164,024 dados de alta (+4218)
10,762 hosp. (-202)
1,169 UCI (-3)
1,625,135 pruebas (+20,614) https://t.co/GFUNeQJrN2"
1277002558578573316,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano #Dia104 #Dashboard 🇵🇪 #covid19peru 

⚠️Hoy tendencias en departamentos 

🔸Casos Confirmados: 275,989 (+3,625)
🔸Activos: 102,830 (-789)
🔸Altas: 164,024 (+4218)
🔸Fallecidos: 9,135 (+196)
🔸Hospitalizados: 10,762 (-202)
🔸En UCI: 1,169 (-3)
🔸UCI disponible:  157 de 1326 https://t.co/jj7bGJ2GqX"
1277002527423320066,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Partido complicado pero no perdido. Saldremos de esta 💪
Que la fe sea lo ultimo que se pierda 🙌"
1277002524235640834,"@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Cuantas pruebas moleculares se practicaron a hoy(?) Lo veremos , casi  cinco dias estaban en cinco mil pruebas pcr . Lo veremos ."
1277002422745997313,@Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Esta es la cruda y triste realidad! https://t.co/7EQUeTZEBt
1277002390185574402,"Tantas exigencias burocraticas para implantar protocolos anti covit y se olvidan que los negocios obligados no tienen un puto centavo luego de mas de 100 dias cerrados.
SPR @MartinVizcarraC ojo con ese detalle.
@PeruAmpe @ANGRPERU @Minsa_Peru @RPPNoticias"
1277002270585085952,"@MartinRatero @Minsa_Peru @Agencia_Andina @noticias_tvperu @RadioNacionalFM @DiarioElPeruano Jajajaja que cagada, gracias bro"
